 ;Area;Mean;Min;Max;X;Y
Ji_3_m;0;173;173;173;1894.667;598.667
Ji_3_m;0;170;170;170;1934.667;760.000
Ji_3_m;0;173;173;173;1936.000;822.667
Ji_3_m;0;173;173;173;1933.333;880.000
Ji_3_m;0;173;173;173;1929.333;937.333
Ji_3_m;0;173;173;173;1933.333;982.667
Ji_3_m;0;173;173;173;1930.667;1049.333
Ji_3_m;0;173;173;173;1929.333;1120.000
Ji_3_m;0;173;173;173;1930.667;1193.333
Ji_3_m;0;173;173;173;1910.667;1427.667
Ji_3_m;0;173;173;173;1724.000;1243.667
Ji_3_m;0;173;173;173;1706.667;1193.000
Ji_3_m;0;173;173;173;1713.333;1085.000
Ji_3_m;0;173;173;173;1720.000;1009.000
Ji_3_m;0;173;173;173;1725.333;959.667
Ji_3_m;0;173;173;173;1728.000;903.667
Ji_3_m;0;173;173;173;1725.333;837.000
Ji_3_m;0;173;173;173;1738.667;751.333
Ji_3_m;0;173;173;173;1796.000;687.333
Ji_3_m;0;173;173;173;1996.000;686.000
Ji_3_m;0;173;173;173;2080.000;762.000
Ji_3_m;0;173;173;173;2096.000;843.333
Ji_3_m;0;173;173;173;2098.667;896.667
Ji_3_m;0;173;173;173;2102.667;948.667
Ji_3_m;0;173;173;173;2109.333;1010.000
Ji_3_m;0;173;173;173;2118.667;1091.333
Ji_3_m;0;173;173;173;2118.667;1183.333
Ji_3_m;0;173;173;173;2100.000;1266.000
