ID ;Area;Mean;Min;Max;X;Y
Jp_3_f;0;173;173;173;1061.667;1617.667
Jp_3_f;0;173;173;173;1053.667;1380.667
Jp_3_f;0;173;173;173;1063.000;1277.000
Jp_3_f;0;173;173;173;1055.000;1138.333
Jp_3_f;0;173;173;173;1053.667;971.000
Jp_3_f;0;173;173;173;1045.667;822.333
Jp_3_f;0;173;173;173;1027.000;742.000
Jp_3_f;0;173;173;173;1029.667;628.333
Jp_3_f;0;173;173;173;1025.667;517.333
Jp_3_f;0;173;173;173;1025.667;106.667
Jp_3_f;0;173;173;173;772.333;361.333
Jp_3_f;0;173;173;173;688.333;495.667
Jp_3_f;0;173;173;173;681.667;665.667
Jp_3_f;0;173;173;173;700.333;792.333
Jp_3_f;0;173;173;173;675.000;911.333
Jp_3_f;0;173;173;173;689.667;1056.667
Jp_3_f;0;173;173;173;715.000;1237.000
Jp_3_f;0;173;173;173;781.667;1398.333
Jp_3_f;0;173;173;173;901.667;1509.333
Jp_3_f;0;173;173;173;1217.667;1496.000
Jp_3_f;0;173;173;173;1337.667;1381.333
Jp_3_f;0;173;173;173;1387.000;1195.667
Jp_3_f;0;173;173;173;1384.333;1009.333
Jp_3_f;0;173;173;173;1371.000;874.000
Jp_3_f;0;173;173;173;1361.667;763.333
Jp_3_f;0;173;173;173;1355.000;656.333
Jp_3_f;0;173;173;173;1329.667;492.333
Jp_3_f;0;173;173;173;1271.000;345.667
